606.46	37.3858
604.53	37.4252
602.52	37.4686
600.51	37.5088
598.54	37.5524
596.45	37.5928
594.38	37.6358
592.28	37.6758
590.21	37.7184
588.08	37.7584
585.85	37.8022
583.68	37.8424
581.51	37.886
579.38	37.9258
577.12	37.969
574.87	38.0084
572.5	38.052
570.15	38.0922
567.86	38.1358
565.44	38.1762
563.09	38.2192
560.64	38.2588
558.2	38.3016
555.75	38.342
553.24	38.3858
550.78	38.4256
548.15	38.469
545.64	38.5092
543.08	38.552
540.39	38.5916
537.69	38.6354
535.02	38.6754
532.35	38.7192
529.59	38.7594
526.8	38.8022
523.92	38.842
521.11	38.885
518.23	38.9254
515.3	38.969
512.34	39.0094
509.34	39.0524
506.29	39.0922
503.23	39.1352
500.1	39.1752
496.96	39.2186
493.76	39.259
490.58	39.3026
487.27	39.3426
484.01	39.3852
480.61	39.4252
477.23	39.4684
473.78	39.5086
470.26	39.5526
